An air gap separation is measured from the outlet of the discharge pipe, to the:,BPAT,Flood level rim,Fixture drain plug,Inlet of the supply,Level of the liquid
The minimum type of containment protection for a non-health hazard, non-chemical fire sprinkler system is:,BPAT,Double check detector assembly backflow preventer,Atmospheric vacuum breaker,Pressure vacuum breaker assembly,Reduced pressure detector assembly
The type of protection required for a closed loop heating system containing chemicals is:,BPAT,Reduced pressure principle assembly,Double check valve assembly,Pressure vacuum breaker assembly,Dual check valve type backflow preventer
For containment protection in a non-health hazard situation, the minimum protection required shall be:,BPAT,Double check backflow prevention assembly,Reduced pressure principle backflow preventer,Two (2) single check valves in series,Atmospheric vacuum breaker
Water continuously leaking from test cock number 2 during a test procedure of a pressure vacuum breaker assembly is probably caused by a leaking:,BPAT,Inlet shut-off valve number 1,Air inlet valve,Test cock number 1,Outlet shut-off valve number 2
The required backflow prevention assembly for a fire suppression system containing chemicals is:,BPAT,Reduced pressure detector assembly or reduced pressure principle assembly,Double check detector assembly or double check backflow prevention assembly,Pressure vacuum breaker assembly,Dual check valve type backflow preventer
The required type of backflow protection for a closed loop piping system containing glycol is:,BPAT,Reduced pressure principle assembly,Double check valve assembly,Atmospheric vacuum breaker,Dual check valve type backflow preventer
The primary consideration in determining what type of backflow preventer to install is:,BPAT,Degree of hazard,Cost,Customer preference,System temperature
What is the probable cause of a relief valve failing to open during a field test on a reduced pressure principle backflow preventer?,BPAT,A malfunction of the relief valve mechanism,A leaking number 1 shut-off valve,Low water supply pressure,Air trapped inside the relief valve
The required backflow protection for a chemically charged solar heating system with an expansion tank is:,BPAT,Reduced pressure principle assembly,Atmospheric vacuum breaker,Double check backflow prevention assembly,Pressure vacuum breaker assembly
The type of protection associated with an air gap separation is:,BPAT,Backsiphonage and isolation,Backpressure and isolation,Backpressure or backsiphonage and isolation,Containment only
The application of a pressure vacuum breaker assembly is for:,BPAT,Backsiphonage and isolation,Backpressure and isolation,Backpressure or backsiphonage and isolation,Containment only
How many pounds of pressure per square inch are exerted at the base of a column of water that is 2 feet tall?,BPAT,0.86,0.33,0.78,1.29
A pressure of 75 psi would be equivalent to what _________ head of water?,BPAT,173.2 feet,37.5 feet,75.0 feet,115.0 feet
A pressure gauge installed at the bottom of an open tank, containing water 10 feet deep, would indicate what pressure reading?,BPAT,4.3 psi,8.6 psi,12.2 psi,14.7 psi
What equipment is used to test a pressure vacuum breaker assembly?,BPAT,Differential pressure gauge,Atmospheric vacuum gauge,Duplex gauge,Pair of bourbon gauges
Test cock number __________ may be opened to establish flow through a backflow prevention assembly:,BPAT,Four (4),One (1),Two (2),Three (3)
Usc, awwa and manufacturers recommend that backflow prevention assemblies be inspected, and that their proper operation is verified by a certified tester at least:,BPAT,Once every year,Once every month,Once every six (6) months,Once every two (2) years
From the choices listed below, what information is required to properly identify the backflow prevention assembly to be tested?,BPAT,All are required,Type and manufacturer of backflow prevention assembly,Location and size of backflow prevention assembly,Model and serial number of backflow prevention assembly
The original signed and dated test report must be:,BPAT,Submitted to the water purveyor,Given to the owner of the property,Kept by the tester for three years,Kept by the tester for ten years
The critical final step in testing a backflow prevention assembly is:,BPAT,Returning the assembly to normal operating condition,Removing the test cock adapters,Recording the test results,Removing the gauges
The differential pressure relief valve on a reduced pressure principle backflow assembly must open before the differential pressure across the inlet check valve drops below:,BPAT,2.0 psid,1.0 psid,1.5 psia,2.5 psig
The minimum hose diameter for a pressure differential gauge is ________ inch:,BPAT,0.25,1/8,3/8,0.5
What are the minimum scale increments allowed on differential pressure gauges used for testing backflow prevention assemblies and devices?,BPAT,0.2 psid,0.1 psia,0.5 psig,1.0 psid
What valve must be closed when testing a reduced pressure principle backflow assembly?,BPAT,Number two (2) shut-off valve,Number one (1) shut-off valve,Service connection valve,Pressure regulating valve
An occasional discharge from the relief valve of a reduced pressure principle backflow preventer usually indicates:,BPAT,The device is working properly,A leaking number one (1) check valve,A leaking number two (2) check valve,A malfunction in the relief valve
If the check valve springs are interchanged on a double check valve assembly, the assembly:,BPAT,Will not be adversely affected by the interchange,Will not protect against backflow,Will create a significant pressure drop,Will malfunction due to the interchange
Constant discharge from the relief valve of a reduced pressure principle assembly usually indicates:,BPAT,A leaking number one (1) check valve,Fluctuating incoming pressure,Fluctuating downstream pressure,Excessive downstream pressure
The required number of test cocks on a small 0.75in- 2in pressure vacuum breaker assembly is:,BPAT,Two (2),None,One (1),Three (3)
The required number of test cocks on a large 2.5in – 4in atmospheric vacuum breaker is:,BPAT,None,One (1),Two (2),Three (3)
What critical component of an atmospheric vacuum breaker is subject to failure?,BPAT,Air inlet valve,Upstream shut-off valve,Loaded check valve,Canopy
A check valve in an approved backflow prevention assembly, must be drip tight when:,BPAT,The assembly is subject to any backflow,The supply pressure is increased,The number one (1) shut-off valve is closed,The test cocks are open
A leaking check valve may be caused by a:,BPAT,All are true,Dirty or damaged check disc,Damaged check seat,Broken or damaged spring
Test cock number 1 of an approved double check valve assembly, is located:,BPAT,Up stream of shut-off valve number one (1),Downstream of shut-off valve number one (1),Downstream of shut-off valve number two (2),Between the number one (1) and number two (2) check valves
On an approved pressure vacuum breaker assembly, the shut-off valves:,BPAT,Are located at the inlet and outlet of all assemblies,Contain an inlet test cock on all assemblies,Are installed at the outlet of the assembly only,Are not used during a field test procedure
Test cock number 1 on a small 0.75in – 2in pressure vacuum breaker assembly, is located between the check valve and the:,BPAT,Shut-off valve number one (1),Air inlet valve,Inlet valve cover,Test cock number two (2)
Test cock number 2 on a pressure vacuum breaker assembly is located between the air inlet valve and the:,BPAT,Upstream check valve,Outlet shut off valve number two (2),Test cock number one (1),Downstream check valve
When testing with a differential pressure gauge, a pressure vacuum breaker assembly air inlet valve, water pressure is bled through the:,BPAT,Differential gauge,Air inlet valve,Test cock number one (1),Outlet shut-off valve number two (2)
Test cocks are flushed for the following:,BPAT,All are true,To remove lodged foreign material,To protect the test gauges from damage,To determine flow through the device
The relief valve of a reduced pressure principle backflow assembly is internally loaded to:,BPAT,Force the relief valve to open,Force the number one (1) check valve to open,Force the number two (2) check valve to open,Reduce the incoming pressure
A reduced pressure principle backflow assembly’s differential relief valve operates from the incoming water pressure and the water pressure in the:,BPAT,Zone between the two check valves,Most remote fixture served by the device,Number four (4) test cock,Atmospheric vent
A reduced pressure principle backflow assembly test will indicate a leaking number 2 shut-off valve by:,BPAT,No change in the differential pressure reading when testing the differential pressure relief valve,A drop in differential pressure and relief valve discharge,A drop of one (1) psid pressure, a differential pressure drop to zero (0) psig
How can you stop an occasional discharge of water from the relief valve of a reduced pressure principle backflow preventer caused by supply pressure fluctuations? ,BPAT,By installing a soft seat check valve upstream of the assembly,By installing a globe valve on the downstream piping,By installing a soft seat check valve downstream of the assembly,By installing a strainer upstream of the assembly
The term copper poisoning results from:,BPAT,The chemical reaction of copper piping materials to co2,The chemical reaction of copper piping materials to polluted water,The chemical reaction of copper piping materials to plastic pipe,The chemical reaction of copper piping materials to contaminated water
Psig is equivalent to:,BPAT,Psia minus atmospheric pressure,The pressure on a psia gauge, above sea level,The pressure on a psia gauge, above or below atmospheric pressure,Psia plus atmospheric pressure
A small hole in the underground potable water distribution system may:,BPAT,Allow contamination of the system from backsiphonage backflow,Create backpressure backflow,Increase the system pressure,Cause the distribution system pumps to siphon air
It is possible to compensate for a leaking number 2 shut-off valve during the field test procedure of a reduced pressure principle backflow preventer by attaching a temporary bypass hose from:,BPAT,Number one (1) test cock to number four (4) test cock,Number three (3) test cock to number four (4) test cock,Number two (2) test cock to the angle stop of the first upstream fixture,Number two (2) test cock to number four (4) test cock
Edible syrup introduced into a water system through a cross-connection would be an example of:,BPAT,A non-health hazard,The venturi effect,A health hazard,A nuisance
All of the following could create a closed loop piping system except a:,BPAT,Pressure relief valve,Gate valve,Dual check valve type backflow preventer,Double check valve backflow prevention assembly
Point of use backflow prevention is defined as:,BPAT,Isolation,Hazard assessment,Containment,Intermittent
An air gap separation is determined from the outlet piping’s _____________ diameter.,BPAT,Effective,Nominal,Greatest,Outside
If not marked, the critical level of a pressure vacuum breaker assembly is assumed to be the level of the:,BPAT,Bottom of the valve body,Bottom of the discharge piping,Shut-off valve number two (2),Bottom of the inlet piping
The reason for the meter on a double check detector assembly backflow preventer is to:,BPAT,Detect unauthorized water usage,Determine the direction of flow,Test the alarm system,Bypass the water meter
A spill resistant vacuum breaker, or SVB, is a modified:,BPAT,Pressure vacuum breaker assembly,Air gap separation,Atmospheric vacuum breaker,Double check backflow prevention assembly
The minimum vertical distance between the relief valve discharge port of a reduced pressure principle backflow assembly and the floor plane is:,BPAT,Twelve (12) inches,Eighteen (18) inches,Six (6) inches,Twenty-four (24) inches
The minimum requirement for an approved air gap separation shall be at least:,BPAT,Twice the diameter of the supply pipe, but not less than one (1) inch,Twelve (12) inches above the surrounding ground or floor,That recommended by the manufacturer of the physical air gap,Six (6) inches above the outlet of the supply pipe
The type of protection provided by a barometric loop is:,BPAT,Prevents backsiphonage backflow,It provides an atmospheric break,Prevents backpressure backflow,Prevents backpressure and backsiphonage backflow
The proper installation of an atmospheric vacuum breaker on an irrigation system would permit the downstream piping to be elevated above the atmospheric vacuum breaker, provided:,BPAT,This is never an acceptable practice,A shut-off valve is installed downstream, prior to the sprinkler heads,A hose bib is installed downstream to drain the piping,The sprinkler heads are at least six (6) inches below the avb
Every vacuum breaker is designed to:,BPAT,Prevent backsiphonage backflow,Prevent backpressure backflow,Prevent backsiphonage and back-pressure backflow,Promote and allow siphonage under any condition
An unprotected bypass around a backflow prevention assembly or device:,BPAT,Is considered to be a cross-connection and is never permitted,Must be within three (3) feet of the device to allow inspection,Must be equipped with a swing or spring loaded check valve,Must be of an equivalent pipe size
A potential backpressure backflow plumbing connection is:,BPAT,Process water line,Aspirator,Water closet,Mop sink with an open end hose connected
When testing a spill resistant vacuum breaker, or SVB, the __________ is tested by removing the vent screw,BPAT,The check valve,The number 1 shutoff valve,The air inlet valve,The number 2 check valvethe number 2 check valve
Which facility may not be required to install a reduced pressure principle backflow prevention assembly on their service connection:,BPAT,A tall building where the highest outlet is 80 ft or more above the meter,Chemical or plating plant,Sewage treatment plant,Commercial car wash
A chemically treated boiler system would require what type of backflow protection on the potable water make-up line:,BPAT,Reduced pressure principle backflow assembly,Dual check valve type backflow preventer,Backflow preventer with intermediate atmospheric vent,An approved detector check with an integral alarm
The recommended backflow protection for the potable water supply to a pump used for handling raw sewage is:,BPAT,Air gap,Reduced pressure principle backflow preventer,Pressure vacuum breaker assembly,Double check detector assembly backflow preventer
The potable water supply to a urinal equipped with a flushometer valve is normally protected by:,BPAT,Atmospheric vacuum breaker,Dual check valve type backflow preventer,Pressure vacuum breaker assembly,Double check backflow prevention assembly
An absolute vacuum at sea level can lift a column of water a maximum distance of:,BPAT,33.9 feet,8.33 feet,14.7 feet,4.34 feet
When testing a double check valve backflow prevention assembly, the number 2 shut-off valve must be closed first to:,BPAT,Maintain pressure in the assembly,Hold water in the downstream piping,Maintain zero (0) psig at the outlet,Prevent backsiphonage during the test
While testing a reduced pressure principle backflow assembly, a fluctuation in the pressure differential during a static condition is caused by:,BPAT,Rapidly changing supply pressure,Backpressure backflow,Leaking number one (1) check valve,Backsiphonage backflow
The weight of a cubic foot of water at sea level is:,BPAT,62.4 pounds,33.9 pounds,8.33 pounds,Easily measured with a differential pressure gauge
An absolute pressure of 25 psia, at sea level, is equal to approximately:,BPAT,Ten (10) psig,Five (5) psig,Fifteen (15) psig,Twenty (20) psig
To exert a pressure of 1 psig at the base of a column of water, the column of water would have to be _____ in height:,BPAT,27.75 inches,Ten (10) feet,14.7 inches,12.0 inches
When testing a backflow prevention assembly, the tester must first:,BPAT,Notify the owner,Flush the test cock,Determine the direction of flow,Record the serial number
If during the field test of a reduced pressure principle backflow assembly, the relief valve fails to open, the probable cause is:,BPAT,A malfunction of the differential pressure relief valve mechanism,A leaking number one (1) check valve,The tester forgot to bleed the test cocks prior to testing,Air trapped inside the relief valve
When field testing the air inlet valve on a pressure vacuum breaker assembly, the test gauge elevation shall be:,BPAT,The same level as the air inlet valve,At least six (6) inches higher than the assembly,The same level as the assembly,At least twelve (12) inches higher than the assembly
If the air inlet valve of a pressure vacuum breaker assembly will not seat, the:,BPAT,Supply pressure is too low,Air inlet valve must be removed,Canopy cover must be replace and specified clearances verified,Check valve should be removed and checked for proper spring tension
The springs on the 2 check valves of a reduced pressure principle backflow preventer, or RPZ, are:,BPAT,Are not interchangeable,Mechanically interconnected,Externally loaded,Located outside the body of the assembly
The number 2 test cock of a double check valve assembly is located:,BPAT,Downstream of shut-off valve number one (1) and upstream of check valve number one (1),Downstream of shut-off valve number two (2),Downstream of the number two (2) check valve and upstream of number two (2) shut-off valve,Between the number one (1) and number two (2) check valve
A 2 inch atmospheric vacuum breaker, installed on a 2 inch water supply to a tank must be at least _________ above the flood level rim of the tank:,BPAT,Six (6) inches,Twelve (12) inches,Twenty-four (24) inches,Two (2) inches
A 0.25 inch diameter potable water supply shall have at least a _________ air gap separation between the supply pipe and the flood level rim:,BPAT,One(1) inch,Two (2) inch,Six (6) inch,One half (0.5) inch
Backsiphonage may occur when the pressure inside copper tubing is ____,BPAT,Less than atmospheric pressure,Greater than atmospheric pressure,Greater than barometric pressure,Less than absolute pressure
Containing a plumbing system from the public water supply requires backflow protection at the _______?,BPAT,Service Connection,Appliance or fixture,Building foundation,Irrigation system
Backflow preventer manufacturers recommend that assemblies be field-tested annually and when_____?,BPAT,Repaired or Installed,Installed,Moved,Shut down
